pitch_type,game_date,release_speed,player_name,batter,pitcher,events,outs_when_up,inning,hit_distance_sc,pitch_number,pitch_name
SI,2023-06-06,94,"Schmidt, Clarke",650391,657376,grounded_into_double_play,1,6,7,1,Sinker
ST,2023-06-06,85.9,"Schmidt, Clarke",673357,657376,field_out,0,6,357,2,Sweeper
SI,2023-06-06,94.5,"Schmidt, Clarke",673357,657376,,0,6,,1,Sinker
SI,2023-06-06,92.1,"Schmidt, Clarke",643217,657376,hit_by_pitch,0,6,,5,Sinker
ST,2023-06-06,84.3,"Schmidt, Clarke",643217,657376,,0,6,8,4,Sweeper
ST,2023-06-06,84.3,"Schmidt, Clarke",643217,657376,,0,6,,3,Sweeper
SI,2023-06-06,91.9,"Schmidt, Clarke",643217,657376,,0,6,,2,Sinker
FC,2023-06-06,90.9,"Schmidt, Clarke",643217,657376,,0,6,,1,Cutter
ST,2023-06-06,85.7,"Schmidt, Clarke",641313,657376,field_out,2,5,11,6,Sweeper
SI,2023-06-06,93.3,"Schmidt, Clarke",641313,657376,,2,5,199,5,Sinker
KC,2023-06-06,83,"Schmidt, Clarke",641313,657376,,2,5,,4,Knuckle Curve
ST,2023-06-06,86.1,"Schmidt, Clarke",641313,657376,,2,5,197,3,Sweeper
ST,2023-06-06,84.7,"Schmidt, Clarke",641313,657376,,2,5,,2,Sweeper
ST,2023-06-06,86.1,"Schmidt, Clarke",641313,657376,,2,5,,1,Sweeper
FC,2023-06-06,90.6,"Schmidt, Clarke",664874,657376,home_run,2,5,435,3,Cutter
ST,2023-06-06,85.6,"Schmidt, Clarke",664874,657376,,2,5,,2,Sweeper
FC,2023-06-06,89.5,"Schmidt, Clarke",664874,657376,,2,5,,1,Cutter
ST,2023-06-06,85.5,"Schmidt, Clarke",663853,657376,single,2,5,268,3,Sweeper
ST,2023-06-06,85.4,"Schmidt, Clarke",663853,657376,,2,5,,2,Sweeper
FC,2023-06-06,90.3,"Schmidt, Clarke",663853,657376,,2,5,,1,Cutter
FC,2023-06-06,90.3,"Schmidt, Clarke",657757,657376,field_out,1,5,20,4,Cutter
KC,2023-06-06,83.3,"Schmidt, Clarke",657757,657376,,1,5,,3,Knuckle Curve
FC,2023-06-06,90.6,"Schmidt, Clarke",657757,657376,,1,5,3,2,Cutter
ST,2023-06-06,85.2,"Schmidt, Clarke",657757,657376,,1,5,,1,Sweeper
ST,2023-06-06,84.4,"Schmidt, Clarke",683734,657376,field_out,0,5,94,6,Sweeper
KC,2023-06-06,82.8,"Schmidt, Clarke",683734,657376,,0,5,,5,Knuckle Curve
ST,2023-06-06,84,"Schmidt, Clarke",683734,657376,,0,5,,4,Sweeper
KC,2023-06-06,82.5,"Schmidt, Clarke",683734,657376,,0,5,,3,Knuckle Curve
KC,2023-06-06,82.1,"Schmidt, Clarke",683734,657376,,0,5,,2,Knuckle Curve
FC,2023-06-06,90.6,"Schmidt, Clarke",683734,657376,,0,5,,1,Cutter
KC,2023-06-06,83.4,"Schmidt, Clarke",660162,657376,field_out,2,4,18,4,Knuckle Curve
ST,2023-06-06,84.1,"Schmidt, Clarke",660162,657376,,2,4,,3,Sweeper
ST,2023-06-06,85.1,"Schmidt, Clarke",660162,657376,,2,4,,2,Sweeper
SI,2023-06-06,93.5,"Schmidt, Clarke",660162,657376,,2,4,,1,Sinker
SI,2023-06-06,93.4,"Schmidt, Clarke",650391,657376,grounded_into_double_play,0,4,22,3,Sinker
FC,2023-06-06,90.6,"Schmidt, Clarke",650391,657376,,0,4,213,2,Cutter
SI,2023-06-06,91.8,"Schmidt, Clarke",650391,657376,,0,4,,1,Sinker
SI,2023-06-06,92.8,"Schmidt, Clarke",673357,657376,single,0,4,113,1,Sinker
FC,2023-06-06,90.3,"Schmidt, Clarke",643217,657376,field_out,2,3,296,4,Cutter
FC,2023-06-06,90.9,"Schmidt, Clarke",643217,657376,,2,3,,3,Cutter
FC,2023-06-06,91.9,"Schmidt, Clarke",643217,657376,,2,3,,2,Cutter
KC,2023-06-06,83.6,"Schmidt, Clarke",643217,657376,,2,3,,1,Knuckle Curve
FC,2023-06-06,90.8,"Schmidt, Clarke",641313,657376,field_out,1,3,25,7,Cutter
SI,2023-06-06,93.7,"Schmidt, Clarke",641313,657376,,1,3,214,6,Sinker
FC,2023-06-06,90.7,"Schmidt, Clarke",641313,657376,,1,3,,5,Cutter
ST,2023-06-06,86.7,"Schmidt, Clarke",641313,657376,,1,3,,4,Sweeper
SI,2023-06-06,93.5,"Schmidt, Clarke",641313,657376,,1,3,,3,Sinker
SI,2023-06-06,93.3,"Schmidt, Clarke",641313,657376,,1,3,,2,Sinker
ST,2023-06-06,85.1,"Schmidt, Clarke",641313,657376,,1,3,,1,Sweeper
KC,2023-06-06,83.6,"Schmidt, Clarke",664874,657376,home_run,1,3,320,2,Knuckle Curve
ST,2023-06-06,86.2,"Schmidt, Clarke",664874,657376,,1,3,,1,Sweeper
KC,2023-06-06,83.4,"Schmidt, Clarke",663853,657376,strikeout,0,3,,4,Knuckle Curve
KC,2023-06-06,83.7,"Schmidt, Clarke",663853,657376,,0,3,,3,Knuckle Curve
ST,2023-06-06,85.5,"Schmidt, Clarke",663853,657376,,0,3,,2,Sweeper
ST,2023-06-06,85.1,"Schmidt, Clarke",663853,657376,,0,3,,1,Sweeper
FC,2023-06-06,91.2,"Schmidt, Clarke",657757,657376,grounded_into_double_play,1,2,6,1,Cutter
FC,2023-06-06,91.6,"Schmidt, Clarke",683734,657376,field_out,0,2,71,6,Cutter
KC,2023-06-06,83.3,"Schmidt, Clarke",683734,657376,,0,2,,5,Knuckle Curve
ST,2023-06-06,85.9,"Schmidt, Clarke",683734,657376,,0,2,,4,Sweeper
KC,2023-06-06,83.5,"Schmidt, Clarke",683734,657376,,0,2,25,3,Knuckle Curve
KC,2023-06-06,84.7,"Schmidt, Clarke",683734,657376,,0,2,1,2,Knuckle Curve
SI,2023-06-06,93.4,"Schmidt, Clarke",683734,657376,,0,2,,1,Sinker
FC,2023-06-06,90.9,"Schmidt, Clarke",660162,657376,single,0,2,70,5,Cutter
SL,2023-06-06,87.4,"Cordero, Jimmy",673357,622772,strikeout,2,8,,4,Slider
SL,2023-06-06,85.3,"Cordero, Jimmy",673357,622772,,2,8,210,3,Slider
SI,2023-06-06,93.6,"Schmidt, Clarke",660162,657376,,0,2,,4,Sinker
SL,2023-06-06,85.5,"Cordero, Jimmy",673357,622772,,2,8,,2,Slider
ST,2023-06-06,85.1,"Schmidt, Clarke",660162,657376,,0,2,,3,Sweeper
FC,2023-06-06,90.4,"Schmidt, Clarke",660162,657376,,0,2,,2,Cutter
CH,2023-06-06,87.7,"Kahnle, Tommy",663853,592454,field_out,2,7,22,2,Changeup
SI,2023-06-06,96.9,"Cordero, Jimmy",673357,622772,,2,8,,1,Sinker
SI,2023-06-06,97.1,"Cordero, Jimmy",643217,622772,walk,2,8,,5,Sinker
FC,2023-06-06,91.3,"Schmidt, Clarke",660162,657376,,0,2,,1,Cutter
SL,2023-06-06,84,"Kahnle, Tommy",663853,592454,,2,7,,1,Slider
SL,2023-06-06,87.3,"Abreu, Albert",683734,656061,field_out,2,9,276,4,Slider
KC,2023-06-06,84.5,"Schmidt, Clarke",650391,657376,field_out,2,1,55,3,Knuckle Curve
CH,2023-06-06,88.2,"Kahnle, Tommy",657757,592454,single,2,7,238,2,Changeup
SI,2023-06-06,97.2,"Cordero, Jimmy",643217,622772,,2,8,,4,Sinker
SI,2023-06-06,97.2,"Cordero, Jimmy",643217,622772,,2,8,,3,Sinker
ST,2023-06-06,86.9,"Schmidt, Clarke",650391,657376,,2,1,,2,Sweeper
CH,2023-06-06,88,"Kahnle, Tommy",657757,592454,,2,7,,1,Changeup
SL,2023-06-06,87.8,"Abreu, Albert",683734,656061,,2,9,,3,Slider
ST,2023-06-06,87.1,"Schmidt, Clarke",650391,657376,,2,1,,1,Sweeper
SI,2023-06-06,96.4,"Cordero, Jimmy",643217,622772,,2,8,,2,Sinker
CH,2023-06-06,90.1,"Kahnle, Tommy",683734,592454,strikeout,1,7,,8,Changeup
SI,2023-06-06,97.7,"Abreu, Albert",683734,656061,,2,9,157,2,Sinker
SI,2023-06-06,97.3,"Cordero, Jimmy",643217,622772,,2,8,,1,Sinker
CH,2023-06-06,88.6,"Kahnle, Tommy",683734,592454,,1,7,3,7,Changeup
FC,2023-06-06,92.2,"Schmidt, Clarke",673357,657376,single,2,1,106,3,Cutter
SI,2023-06-06,97.5,"Abreu, Albert",683734,656061,,2,9,,1,Sinker
SI,2023-06-06,97,"Cordero, Jimmy",641313,622772,strikeout,1,8,,5,Sinker
